Sample	Control-Sample 1	Control-Sample 2	Control-Sample 3	Control-Sample 4	Control-Sample 5	Control-Sample 6	Control-Sample 7	Control-Sample 8	Control-Sample 9	Control-Sample 10	Control-Sample 11
B2M	13.29184698	13.3145266	13.13511285	9.633763582	9.993136534	13.53977677	13.54805124	13.42368058	11.21670949	10.50750726	8.996668377
B3GALNT1	6.170844426	6.150049851	6.352548446	7.16093027	6.962965392	6.304938092	6.234003066	6.340455452	7.042600566	7.090059476	7.329751499
B3GALNT2	7.363906958	7.346496004	7.293434863	7.307501387	7.444203231	7.47893137	7.276068558	7.474744278	7.540895205	7.15919523	7.364099627
B3GALT1	5.214148125	5.148600636	5.000076641	6.190450908	5.967751932	5.411036367	5.329658227	5.246541101	6.034897981	6.239825715	6.175041493
B3GALT2	5.35135271	5.444832686	5.14653711	6.079992438	6.261637998	5.633419585	5.568199355	5.560311432	5.870566929	6.201298631	6.145104746
B3GALT4	8.032337819	7.920340945	7.73434382	8.113273344	8.157180169	8.242592979	8.03733829	8.085366228	8.121051675	8.349670466	8.244068843
B3GALT5	5.606394848	5.66715413	5.722621762	6.589592726	7.242583453	5.883911574	5.679719356	5.869688837	6.629683011	6.931399406	6.781359714
B3GALT6	7.880238593	7.864161377	7.849261215	7.714918618	7.750559611	7.628110118	7.665406984	7.916996064	7.953876322	7.980687983	8.174720995
B3GALTL	6.621108267	6.788568265	6.584071061	6.740792672	6.745936456	6.771066833	7.323415108	7.038600793	6.614082577	6.523652906	6.787811164
B3GAT1	6.810610192	6.883376437	6.861459166	6.782827892	7.318560886	7.091107404	6.431918755	6.893835426	7.392377534	7.308639371	7.287102856
B3GAT2	6.808784028	6.927718713	7.069573287	7.72926045	7.590355002	7.080742926	6.993595115	6.854880847	7.420768703	7.864737112	7.488265948
B3GAT3	8.168987947	8.324711613	8.50258918	7.364528661	7.410866822	8.593223032	8.167779402	8.118167622	7.955644096	7.346788506	7.860478674
B3GNT1	5.450046593	5.555886693	5.388037957	5.499823569	5.476563147	5.513373885	5.550128025	5.480303904	5.764433741	5.744516342	5.610490422
B3GNT2	8.16740811	8.349688156	8.155865581	7.183486514	7.036690142	7.699322584	7.880942602	7.423368071	6.917885212	7.064839749	7.211489248
B3GNT3	6.887415602	7.036635201	7.068606326	7.845546503	7.703848217	6.943991632	6.939332378	7.17254752	8.025577012	7.93269311	7.731162872
B3GNT4	7.23401265	7.248193249	7.421484206	8.162612877	8.201452533	7.299894853	7.204620048	7.225072442	8.325912541	8.247073033	8.42257782
B3GNT5	6.799242761	6.929104513	6.564870467	6.565402204	6.947385631	8.868739231	8.805189255	9.182138569	6.348347516	6.504018085	6.029044226
B3GNT6	7.362303306	7.459628336	7.372786722	7.667530271	7.928666412	7.438292852	7.17800746	7.299867385	7.906908629	7.831858245	7.827647567
B3GNT7	7.946017289	7.683521019	7.878026382	7.81258807	7.908716853	8.216382108	7.872594857	7.553752153	8.363617907	8.19232734	8.324536112
B3GNT8	6.840324749	7.034413826	7.174196663	7.451639735	7.854880847	7.068047342	6.684930918	7.1497268	7.901838338	8.128917144	7.982137968
B3GNT9	6.479361539	6.44732462	6.388155088	6.506725699	6.472304174	6.598159721	6.230229918	6.507726467	6.80451827	6.979762428	6.905170359
B3GNTL1	6.758804985	6.73805035	6.642802649	7.341872822	7.214815468	6.996411035	6.667103829	6.907090625	7.315057602	7.384014134	7.386588407
B4GALNT1	6.905290722	7.027087685	6.999943644	7.73684837	7.925815511	7.230606524	6.726981036	7.024884784	7.970543092	8.065610007	8.223726619
B4GALNT2	6.797012978	6.572721445	6.890847926	7.232488083	7.297420718	6.895387455	6.649198684	6.736388401	7.510526831	7.460128207	7.42734637
B4GALNT3	6.559025217	6.657339889	6.543407723	7.63088594	7.583714631	6.779285989	6.294293578	6.561404044	7.465411312	7.597441785	7.677254522
B4GALNT4	7.098737462	7.196154557	7.088162803	7.773297482	7.990069918	7.299180538	6.95373085	7.211644987	7.73295429	7.802716681	8.028939282
B4GALT1	10.28090993	10.1887001	9.870860946	7.762096295	7.78942279	9.860619894	9.962284393	9.893685288	8.076719414	7.975756274	7.534800881
B4GALT2	7.997653714	7.937132493	7.828072998	8.403578761	8.546454641	7.931399406	7.56913408	7.779062689	8.75690653	8.712805539	8.637856547
B4GALT3	9.332229044	8.970770269	9.02407584	8.000754963	7.738504399	8.585263031	8.344056179	8.495918968	7.94441339	7.93564243	7.586059133
B4GALT4	7.069111376	6.767668039	6.815652275	6.828428485	6.717333699	7.042939762	7.069530325	7.049216892	6.325228089	6.836126118	6.780283849
B4GALT5	9.217880171	9.131278224	8.872400935	7.833585883	8.019179265	9.778780231	9.695964244	9.741962406	8.119060427	7.721728094	7.948968716
B4GALT6	6.565095984	6.320762648	6.549036082	6.160446282	6.318681989	6.469290156	6.160541076	6.25356199	5.820005318	6.164563052	6.526273868
B4GALT7	8.332788479	8.374909061	8.503678679	7.930991561	8.147098055	8.243997465	7.922096732	8.233068376	8.135073078	8.149686159	7.998889374
B9D1	7.010343474	6.990013172	6.991295079	7.306863723	7.391887985	7.062736954	6.981738512	6.879460723	7.471943409	7.286964293	7.156831415
B9D2	7.954929106	8.009257583	7.958367111	8.212078046	8.099242596	8.225578609	7.889205811	7.946783487	8.056746083	8.405996613	8.201379015
BAALC	6.629317273	6.704207995	6.569050512	7.791521075	7.830153894	6.793973892	6.666259515	6.537866012	7.397118409	7.558680911	7.38772441
BAALCOS	5.987509605	5.883185792	5.841261153	6.376618579	6.711605032	5.901776807	5.878568412	5.853214724	6.476431915	6.637514612	6.589714058
BAAT	4.666262356	4.628324505	4.816686737	5.817919952	5.443855256	4.924061869	4.761779918	4.649534988	5.321516868	5.307883849	5.37244024
BABAM1	9.03282818	9.156667117	9.070330288	7.693946874	8.185326424	8.860140312	9.055249893	8.842667764	8.114767834	8.455175133	8.113601535
BACE1	6.649098065	6.749400182	6.748877129	7.074730198	7.164967247	6.575664792	6.573391191	6.494665212	7.080391184	7.362347146	7.16914333
BACE2	7.321603452	7.220194502	6.935907574	7.122341408	6.917932936	7.018445013	7.015348143	6.865560075	7.047091185	7.029684776	6.914887372
BACH1	7.354434155	7.318650525	7.338413692	6.706229912	6.790556265	7.691812472	7.761649984	7.773544994	7.192195828	6.564322346	6.687610554
BACH2	8.413708312	8.93684108	8.996561051	7.680000783	7.39394812	9.088721998	8.721953613	8.932716728	7.895187482	7.472966966	7.534240621
BAD	8.099416195	8.10772971	7.841073669	8.504270798	8.556655489	8.132057535	7.88324201	7.998708887	8.669561864	8.802093026	8.900821534
BAG1	8.652457813	8.638993335	8.296755644	7.578372691	7.635348105	8.182046674	8.269009762	8.097610797	7.592785904	7.610751729	7.548829613
BAG2	6.850724427	6.913727173	6.912122888	6.631712555	6.716222715	6.834243488	6.694573796	6.627962799	6.726872078	6.611589957	6.493938687
BAG3	8.04709664	8.259074715	8.401468345	7.286382179	7.562799548	7.807296955	7.409119344	7.681280585	7.32998465	7.750016873	7.388112026
BAG4	8.428012544	8.389553906	8.558562297	7.752233442	7.842947414	7.882820319	8.152599209	8.27294698	7.974552256	7.579504513	7.750767272
BAG5	8.407943272	8.375343582	8.347315746	7.661585726	7.637363903	8.526217519	8.692242358	8.431865283	7.628248671	6.998285782	7.427237407
